DATE,PRCP,TMAX,TMIN,RAIN
07-03-2016,0.2,51.00,40.00,TRUE
08-03-2016,0.14,53.00,39.00,TRUE
09-03-2016,0.93,55.00,42.00,TRUE
10-03-2016,0.23,55.00,42.00,TRUE
11-03-2016,0.32,60.00,36.00,TRUE
12-03-2016,0.15,50.00,40.00,TRUE
13-03-2016,0.62,54.00,39.00,TRUE
14-03-2016,0.25,47.00,39.00,TRUE
15-03-2016, -   ,50.00,38.00,FALSE
16-03-2016, -   ,53.00,39.00,FALSE
17-03-2016, -   ,57.00,34.00,FALSE
18-03-2016, -   ,63.00,47.00,FALSE
19-03-2016, -   ,61.00,50.00,FALSE
20-03-2016,0.17,54.00,48.00,TRUE
21-03-2016,0.34,55.00,46.00,TRUE
22-03-2016, -   ,55.00,44.00,FALSE
23-03-2016,0.23,51.00,45.00,TRUE
24-03-2016, -   ,52.00,43.00,FALSE
25-03-2016, -   ,56.00,43.00,FALSE
26-03-2016,0.13,58.00,42.00,TRUE
27-03-2016,0.18,55.00,40.00,TRUE
28-03-2016, -   ,55.00,38.00,FALSE
29-03-2016, -   ,63.00,40.00,FALSE
30-03-2016, -   ,68.00,42.00,FALSE
31-03-2016, -   ,71.00,47.00,FALSE
01-04-2016, -   ,71.00,48.00,FALSE
02-04-2016, -   ,62.00,46.00,FALSE
03-04-2016,0.16,68.00,45.00,TRUE
04-04-2016,0.03,58.00,45.00,TRUE
05-04-2016, -   ,56.00,44.00,FALSE
06-04-2016, -   ,69.00,44.00,FALSE
07-04-2016, -   ,78.00,50.00,FALSE
08-04-2016, -   ,76.00,50.00,FALSE
09-04-2016, -   ,64.00,47.00,FALSE
10-04-2016, -   ,58.00,46.00,FALSE
11-04-2016, -   ,58.00,48.00,FALSE
12-04-2016,0.32,57.00,44.00,TRUE
13-04-2016,0.1,58.00,44.00,TRUE
14-04-2016,0.15,59.00,44.00,TRUE
15-04-2016, -   ,59.00,47.00,FALSE
16-04-2016, -   ,67.00,44.00,FALSE
17-04-2016, -   ,80.00,48.00,FALSE
18-04-2016, -   ,89.00,54.00,FALSE
19-04-2016, -   ,84.00,56.00,FALSE
20-04-2016, -   ,81.00,53.00,FALSE
21-04-2016, -   ,72.00,51.00,FALSE
22-04-2016, -   ,62.00,52.00,FALSE
23-04-2016,0.01,64.00,51.00,TRUE
24-04-2016,0.3,55.00,46.00,TRUE
25-04-2016,0.11,59.00,44.00,TRUE
26-04-2016, -   ,59.00,43.00,FALSE
27-04-2016, -   ,63.00,48.00,FALSE
28-04-2016, -   ,63.00,50.00,FALSE
29-04-2016,0.01,61.00,48.00,TRUE
30-04-2016, -   ,67.00,45.00,FALSE
01-05-2016, -   ,79.00,50.00,FALSE
02-05-2016, -   ,87.00,54.00,FALSE
03-05-2016, -   ,72.00,56.00,FALSE
04-05-2016, -   ,60.00,52.00,FALSE
05-05-2016, -   ,68.00,48.00,FALSE
06-05-2016, -   ,77.00,50.00,FALSE
07-05-2016, -   ,82.00,52.00,FALSE
08-05-2016,0.03,66.00,48.00,TRUE
09-05-2016, -   ,67.00,46.00,FALSE
10-05-2016, -   ,75.00,47.00,FALSE
11-05-2016, -   ,80.00,52.00,FALSE
12-05-2016, -   ,76.00,49.00,FALSE
13-05-2016, -   ,84.00,50.00,FALSE
14-05-2016,0.02,58.00,53.00,TRUE
15-05-2016,0.02,56.00,52.00,TRUE
16-05-2016,0.06,59.00,50.00,TRUE
17-05-2016, -   ,69.00,51.00,FALSE
18-05-2016, -   ,65.00,51.00,FALSE
19-05-2016,0.5,63.00,48.00,TRUE
20-05-2016, -   ,66.00,49.00,FALSE
21-05-2016,0.21,58.00,50.00,TRUE
22-05-2016, -   ,66.00,52.00,FALSE
23-05-2016, -   ,66.00,53.00,FALSE
24-05-2016, -   ,66.00,55.00,FALSE
25-05-2016, -   ,65.00,53.00,FALSE
26-05-2016, -   ,62.00,51.00,FALSE
27-05-2016, -   ,64.00,49.00,FALSE
28-05-2016,0.1,62.00,49.00,TRUE
29-05-2016, -   ,64.00,52.00,FALSE
30-05-2016, -   ,72.00,48.00,FALSE
31-05-2016, -   ,80.00,52.00,FALSE
01-06-2016,0.04,74.00,55.00,TRUE
02-06-2016,0.01,70.00,58.00,TRUE
03-06-2016, -   ,82.00,56.00,FALSE
04-06-2016, -   ,85.00,62.00,FALSE
05-06-2016, -   ,93.00,64.00,FALSE
06-06-2016, -   ,88.00,62.00,FALSE
07-06-2016, -   ,84.00,59.00,FALSE
08-06-2016,0.01,67.00,55.00,TRUE
09-06-2016,0.13,64.00,51.00,TRUE
10-06-2016,0.18,65.00,49.00,TRUE
11-06-2016, -   ,67.00,50.00,FALSE
12-06-2016, -   ,70.00,53.00,FALSE
13-06-2016, -   ,65.00,49.00,FALSE
14-06-2016,0.02,60.00,47.00,TRUE
15-06-2016, -   ,66.00,44.00,FALSE
16-06-2016, -   ,70.00,51.00,FALSE
17-06-2016,0.14,69.00,50.00,TRUE
18-06-2016, -   ,66.00,52.00,FALSE
19-06-2016, -   ,72.00,48.00,FALSE
20-06-2016,0.55,75.00,55.00,TRUE
21-06-2016, -   ,71.00,54.00,FALSE
22-06-2016, -   ,75.00,55.00,FALSE
23-06-2016,0.35,68.00,53.00,TRUE
24-06-2016,0.34,69.00,52.00,TRUE
25-06-2016, -   ,72.00,56.00,FALSE
26-06-2016, -   ,80.00,56.00,FALSE
27-06-2016, -   ,85.00,58.00,FALSE
28-06-2016, -   ,76.00,54.00,FALSE
29-06-2016, -   ,72.00,55.00,FALSE
30-06-2016, -   ,73.00,55.00,FALSE
01-07-2016, -   ,75.00,55.00,FALSE
02-07-2016, -   ,75.00,57.00,FALSE
03-07-2016, -   ,71.00,56.00,FALSE
04-07-2016, -   ,69.00,56.00,FALSE
05-07-2016, -   ,67.00,55.00,FALSE
06-07-2016,0.01,76.00,56.00,TRUE
07-07-2016,0.12,68.00,58.00,TRUE
08-07-2016,0.24,72.00,58.00,TRUE
09-07-2016,0.01,71.00,56.00,TRUE
10-07-2016, -   ,73.00,56.00,FALSE
11-07-2016, -   ,73.00,57.00,FALSE
12-07-2016, -   ,76.00,59.00,FALSE
13-07-2016, -   ,74.00,57.00,FALSE
14-07-2016, -   ,76.00,57.00,FALSE
15-07-2016, -   ,76.00,56.00,FALSE
16-07-2016, -   ,73.00,57.00,FALSE
17-07-2016, -   ,79.00,58.00,FALSE
18-07-2016,0.01,71.00,60.00,TRUE
19-07-2016, -   ,77.00,60.00,FALSE
20-07-2016, -   ,80.00,60.00,FALSE
21-07-2016, -   ,84.00,58.00,FALSE
22-07-2016,0.33,73.00,59.00,TRUE
23-07-2016, -   ,73.00,58.00,FALSE
24-07-2016, -   ,81.00,58.00,FALSE
25-07-2016, -   ,86.00,59.00,FALSE
26-07-2016, -   ,78.00,59.00,FALSE
27-07-2016, -   ,84.00,56.00,FALSE
28-07-2016, -   ,88.00,61.00,FALSE
29-07-2016, -   ,89.00,62.00,FALSE
30-07-2016, -   ,75.00,57.00,FALSE
31-07-2016, -   ,72.00,56.00,FALSE
01-08-2016, -   ,77.00,53.00,FALSE
02-08-2016,0.13,71.00,57.00,TRUE
03-08-2016, -   ,76.00,58.00,FALSE
04-08-2016, -   ,82.00,56.00,FALSE
05-08-2016, -   ,79.00,57.00,FALSE
06-08-2016, -   ,71.00,54.00,FALSE
07-08-2016,0.03,69.00,57.00,TRUE
08-08-2016, -   ,73.00,56.00,FALSE
09-08-2016, -   ,71.00,58.00,FALSE
10-08-2016, -   ,76.00,58.00,FALSE
11-08-2016, -   ,81.00,58.00,FALSE
12-08-2016, -   ,90.00,63.00,FALSE
13-08-2016, -   ,91.00,64.00,FALSE
14-08-2016, -   ,85.00,57.00,FALSE
15-08-2016, -   ,83.00,57.00,FALSE
16-08-2016, -   ,83.00,56.00,FALSE
17-08-2016, -   ,80.00,56.00,FALSE
18-08-2016, -   ,87.00,60.00,FALSE
19-08-2016, -   ,95.00,69.00,FALSE
20-08-2016, -   ,91.00,62.00,FALSE
21-08-2016, -   ,73.00,57.00,FALSE
22-08-2016, -   ,72.00,55.00,FALSE
23-08-2016, -   ,80.00,54.00,FALSE
24-08-2016, -   ,85.00,58.00,FALSE
25-08-2016, -   ,91.00,61.00,FALSE
26-08-2016, -   ,92.00,64.00,FALSE
27-08-2016, -   ,73.00,58.00,FALSE
28-08-2016, -   ,70.00,55.00,FALSE
29-08-2016, -   ,79.00,53.00,FALSE
30-08-2016, -   ,71.00,56.00,FALSE
31-08-2016,0.01,69.00,58.00,TRUE
01-09-2016,0.17,66.00,56.00,TRUE
02-09-2016,0.05,69.00,55.00,TRUE
03-09-2016, -   ,69.00,54.00,FALSE
04-09-2016, -   ,70.00,51.00,FALSE
05-09-2016,0.01,64.00,54.00,TRUE
06-09-2016,0.42,65.00,55.00,TRUE
07-09-2016,0.04,66.00,57.00,TRUE
08-09-2016,0.03,70.00,55.00,TRUE
09-09-2016, -   ,73.00,50.00,FALSE
10-09-2016, -   ,77.00,54.00,FALSE
11-09-2016, -   ,70.00,55.00,FALSE
12-09-2016, -   ,75.00,54.00,FALSE
13-09-2016, -   ,77.00,51.00,FALSE
14-09-2016, -   ,78.00,51.00,FALSE
15-09-2016, -   ,72.00,52.00,FALSE
16-09-2016, -   ,74.00,52.00,FALSE
17-09-2016,0.22,67.00,57.00,TRUE
18-09-2016, -   ,68.00,54.00,FALSE
19-09-2016,0.08,68.00,53.00,TRUE
20-09-2016, -   ,67.00,49.00,FALSE
21-09-2016, -   ,68.00,52.00,FALSE
22-09-2016, -   ,65.00,49.00,FALSE
23-09-2016,0.01,63.00,53.00,TRUE
24-09-2016, -   ,66.00,53.00,FALSE
25-09-2016, -   ,76.00,58.00,FALSE
26-09-2016, -   ,77.00,53.00,FALSE
27-09-2016,0.02,69.00,54.00,TRUE
28-09-2016, -   ,67.00,52.00,FALSE
29-09-2016, -   ,66.00,47.00,FALSE
30-09-2016, -   ,65.00,46.00,FALSE
01-10-2016,0.05,63.00,50.00,TRUE
02-10-2016, -   ,63.00,50.00,FALSE
03-10-2016, -   ,60.00,49.00,FALSE
04-10-2016,0.13,60.00,52.00,TRUE
05-10-2016,0.04,65.00,52.00,TRUE
06-10-2016,0.31,62.00,53.00,TRUE
07-10-2016,0.11,63.00,53.00,TRUE
08-10-2016,0.61,65.00,52.00,TRUE
09-10-2016,0.06,56.00,48.00,TRUE
10-10-2016, -   ,60.00,45.00,FALSE
11-10-2016, -   ,62.00,43.00,FALSE
12-10-2016,0.01,66.00,43.00,TRUE
13-10-2016,1.75,59.00,51.00,TRUE
14-10-2016,1.36,57.00,50.00,TRUE
15-10-2016,0.73,62.00,50.00,TRUE
16-10-2016,0.56,60.00,50.00,TRUE
17-10-2016,0.17,59.00,50.00,TRUE
18-10-2016,0.08,58.00,49.00,TRUE
19-10-2016,0.22,58.00,45.00,TRUE
20-10-2016,1.19,60.00,50.00,TRUE
21-10-2016,0.02,57.00,48.00,TRUE
22-10-2016,0.05,62.00,44.00,TRUE
23-10-2016,0.12,62.00,49.00,TRUE
24-10-2016,0.1,63.00,51.00,TRUE
25-10-2016, -   ,63.00,50.00,FALSE
26-10-2016,1.23,58.00,52.00,TRUE
27-10-2016,0.04,58.00,52.00,TRUE
28-10-2016, -   ,67.00,50.00,FALSE
29-10-2016,0.19,60.00,48.00,TRUE
30-10-2016,0.26,52.00,44.00,TRUE
31-10-2016,0.66,57.00,49.00,TRUE
01-11-2016,0.22,56.00,50.00,TRUE
02-11-2016,0.46,56.00,51.00,TRUE
03-11-2016, -   ,65.00,48.00,FALSE
04-11-2016, -   ,63.00,42.00,FALSE
05-11-2016,1.31,60.00,51.00,TRUE
06-11-2016,0.12,60.00,48.00,TRUE
07-11-2016,0.04,66.00,50.00,TRUE
08-11-2016, -   ,70.00,49.00,FALSE
09-11-2016,0.24,64.00,51.00,TRUE
10-11-2016, -   ,62.00,45.00,FALSE
11-11-2016, -   ,61.00,52.00,FALSE
12-11-2016,0.1,58.00,48.00,TRUE
13-11-2016,0.24,54.00,47.00,TRUE
14-11-2016,0.31,57.00,50.00,TRUE
15-11-2016,1.08,54.00,46.00,TRUE
16-11-2016,0.2,50.00,43.00,TRUE
17-11-2016, -   ,51.00,41.00,FALSE
18-11-2016, -   ,54.00,39.00,FALSE
19-11-2016,0.04,57.00,48.00,TRUE
20-11-2016,0.01,57.00,47.00,TRUE
21-11-2016,0.02,53.00,44.00,TRUE
22-11-2016,0.45,53.00,43.00,TRUE
23-11-2016,0.13,48.00,42.00,TRUE
24-11-2016,0.66,51.00,46.00,TRUE
25-11-2016,0.01,52.00,41.00,TRUE
26-11-2016,0.38,51.00,43.00,TRUE
27-11-2016,0.32,47.00,42.00,TRUE
28-11-2016, -   ,50.00,40.00,FALSE
29-11-2016,0.04,51.00,41.00,TRUE
30-11-2016,0.1,50.00,43.00,TRUE
01-12-2016,0.01,46.00,40.00,TRUE
02-12-2016,0.27,49.00,44.00,TRUE
03-12-2016,0.18,48.00,44.00,TRUE
04-12-2016,0.17,45.00,35.00,TRUE
05-12-2016,0.24,39.00,33.00,TRUE
06-12-2016, -   ,40.00,31.00,FALSE
07-12-2016, -   ,38.00,28.00,FALSE
08-12-2016,0.06,38.00,30.00,TRUE
09-12-2016,0.34,36.00,31.00,TRUE
10-12-2016,0.18,44.00,35.00,TRUE
11-12-2016,0.09,42.00,39.00,TRUE
12-12-2016,0.09,42.00,37.00,TRUE
13-12-2016, -   ,38.00,31.00,FALSE
14-12-2016, -   ,39.00,30.00,FALSE
15-12-2016, -   ,38.00,32.00,FALSE
16-12-2016, -   ,34.00,25.00,FALSE
17-12-2016, -   ,33.00,23.00,FALSE
18-12-2016, -   ,39.00,27.00,FALSE
19-12-2016,0.81,45.00,35.00,TRUE
20-12-2016,0.01,50.00,40.00,TRUE
21-12-2016, -   ,47.00,34.00,FALSE
22-12-2016,0.3,44.00,33.00,TRUE
23-12-2016,0.58,39.00,35.00,TRUE
24-12-2016,0.1,40.00,35.00,TRUE
25-12-2016, -   ,42.00,33.00,FALSE
26-12-2016,0.29,42.00,33.00,TRUE
27-12-2016,0.05,44.00,40.00,TRUE
28-12-2016, -   ,47.00,38.00,FALSE
29-12-2016,0.05,48.00,40.00,TRUE
30-12-2016,0.02,45.00,34.00,TRUE
31-12-2016,0.03,38.00,29.00,TRUE
01-01-2017,0.43,37.00,28.00,TRUE
02-01-2017, -   ,34.00,26.00,FALSE
03-01-2017, -   ,33.00,21.00,FALSE
04-01-2017, -   ,36.00,22.00,FALSE
05-01-2017, -   ,35.00,21.00,FALSE
06-01-2017, -   ,40.00,20.00,FALSE
07-01-2017, -   ,37.00,29.00,FALSE
08-01-2017,0.45,45.00,35.00,TRUE
09-01-2017,0.05,42.00,34.00,TRUE
10-01-2017,0.07,40.00,32.00,TRUE
11-01-2017, -   ,34.00,28.00,FALSE
12-01-2017, -   ,40.00,25.00,FALSE
13-01-2017, -   ,37.00,25.00,FALSE
14-01-2017, -   ,44.00,26.00,FALSE
15-01-2017, -   ,43.00,27.00,FALSE
16-01-2017, -   ,45.00,30.00,FALSE
17-01-2017,1.74,49.00,39.00,TRUE
18-01-2017,1.21,53.00,44.00,TRUE
19-01-2017,0.09,50.00,41.00,TRUE
20-01-2017, -   ,52.00,37.00,FALSE
21-01-2017,0.05,54.00,40.00,TRUE
22-01-2017,0.08,49.00,37.00,TRUE
23-01-2017, -   ,48.00,34.00,FALSE
24-01-2017, -   ,43.00,31.00,FALSE
25-01-2017, -   ,44.00,35.00,FALSE
26-01-2017, -   ,47.00,41.00,FALSE
27-01-2017, -   ,54.00,37.00,FALSE
28-01-2017, -   ,52.00,37.00,FALSE
29-01-2017,0.03,48.00,37.00,TRUE
30-01-2017,0.02,45.00,40.00,TRUE
31-01-2017, -   ,44.00,34.00,FALSE
01-02-2017, -   ,43.00,29.00,FALSE
02-02-2017,0.01,44.00,32.00,TRUE
03-02-2017,0.7,40.00,34.00,TRUE
04-02-2017,0.94,46.00,37.00,TRUE
05-02-2017,0.82,41.00,33.00,TRUE
06-02-2017,0.65,37.00,30.00,TRUE
07-02-2017,0.01,38.00,30.00,TRUE
08-02-2017,0.7,40.00,34.00,TRUE
09-02-2017,1.63,56.00,39.00,TRUE
10-02-2017,0.02,48.00,39.00,TRUE
11-02-2017, -   ,49.00,38.00,FALSE
12-02-2017, -   ,51.00,34.00,FALSE
13-02-2017, -   ,57.00,35.00,FALSE
14-02-2017,0.23,58.00,36.00,TRUE
15-02-2017,1.63,54.00,45.00,TRUE
16-02-2017,0.5,53.00,46.00,TRUE
17-02-2017,0.01,56.00,42.00,TRUE
18-02-2017,0.15,45.00,42.00,TRUE
19-02-2017,0.06,47.00,40.00,TRUE
20-02-2017,0.2,45.00,40.00,TRUE
21-02-2017,0.07,48.00,39.00,TRUE
22-02-2017, -   ,46.00,35.00,FALSE
23-02-2017,0.01,44.00,34.00,TRUE
24-02-2017, -   ,47.00,32.00,FALSE
25-02-2017,0.01,44.00,32.00,TRUE
26-02-2017,0.33,41.00,35.00,TRUE
27-02-2017,0.16,41.00,33.00,TRUE
28-02-2017,0.01,47.00,33.00,TRUE
01-03-2017,0.02,49.00,41.00,TRUE
02-03-2017,0.09,47.00,41.00,TRUE
03-03-2017,0.36,51.00,39.00,TRUE
04-03-2017,0.04,46.00,34.00,TRUE
05-03-2017, -   ,45.00,34.00,FALSE
06-03-2017, -   ,43.00,35.00,FALSE
07-03-2017,0.75,42.00,35.00,TRUE
08-03-2017,0.13,43.00,37.00,TRUE
09-03-2017,0.7,49.00,39.00,TRUE
10-03-2017,0.03,52.00,44.00,TRUE
11-03-2017,0.37,53.00,40.00,TRUE
12-03-2017,0.02,53.00,45.00,TRUE
13-03-2017,0.65,53.00,47.00,TRUE
14-03-2017,0.39,57.00,48.00,TRUE
15-03-2017,0.81,50.00,44.00,TRUE
16-03-2017, -   ,52.00,39.00,FALSE
17-03-2017,0.68,53.00,37.00,TRUE
18-03-2017,0.34,57.00,35.00,TRUE
19-03-2017, -   ,53.00,34.00,FALSE
20-03-2017,0.01,54.00,38.00,TRUE
21-03-2017,0.2,56.00,46.00,TRUE
22-03-2017,0.02,56.00,43.00,TRUE
23-03-2017,0.26,58.00,39.00,TRUE
24-03-2017,0.24,54.00,44.00,TRUE
25-03-2017,0.01,52.00,43.00,TRUE
26-03-2017,0.38,49.00,43.00,TRUE
27-03-2017,0.17,53.00,44.00,TRUE
28-03-2017,0.14,53.00,44.00,TRUE
29-03-2017,0.51,55.00,45.00,TRUE
30-03-2017, -   ,54.00,43.00,FALSE
31-03-2017, -   ,56.00,37.00,FALSE
01-04-2017,0.04,56.00,45.00,TRUE
02-04-2017,0.04,55.00,41.00,TRUE
03-04-2017, -   ,53.00,40.00,FALSE
04-04-2017,0.12,61.00,43.00,TRUE
05-04-2017,0.46,54.00,48.00,TRUE
06-04-2017,0.26,60.00,47.00,TRUE
07-04-2017,0.1,59.00,46.00,TRUE
08-04-2017,0.01,52.00,41.00,TRUE
09-04-2017, -   ,56.00,39.00,FALSE
10-04-2017,0.38,53.00,41.00,TRUE
11-04-2017,0.02,57.00,38.00,TRUE
12-04-2017,0.85,59.00,45.00,TRUE
13-04-2017,0.08,54.00,43.00,TRUE
14-04-2017,0.01,52.00,42.00,TRUE
15-04-2017, -   ,57.00,41.00,FALSE
16-04-2017, -   ,66.00,42.00,FALSE
17-04-2017,0.07,60.00,50.00,TRUE
18-04-2017,0.48,60.00,48.00,TRUE
19-04-2017,0.35,56.00,46.00,TRUE
20-04-2017,0.01,58.00,44.00,TRUE
21-04-2017, -   ,66.00,43.00,FALSE
22-04-2017,0.07,63.00,48.00,TRUE
23-04-2017,0.49,53.00,45.00,TRUE
24-04-2017,0.06,57.00,45.00,TRUE
25-04-2017,0.05,56.00,47.00,TRUE
26-04-2017, -   ,58.00,45.00,FALSE
27-04-2017,0.04,56.00,44.00,TRUE
28-04-2017, -   ,59.00,43.00,FALSE
29-04-2017,0.14,57.00,42.00,TRUE
30-04-2017,0.08,56.00,47.00,TRUE
01-05-2017,0.03,50.00,45.00,TRUE
02-05-2017,0.13,61.00,43.00,TRUE
03-05-2017,0.11,74.00,55.00,TRUE
04-05-2017,0.44,76.00,53.00,TRUE
05-05-2017,0.25,59.00,46.00,TRUE
06-05-2017,0.02,60.00,43.00,TRUE
07-05-2017, -   ,62.00,45.00,FALSE
08-05-2017, -   ,64.00,46.00,FALSE
09-05-2017, -   ,70.00,47.00,FALSE
10-05-2017, -   ,71.00,51.00,FALSE
11-05-2017,0.47,60.00,46.00,TRUE
12-05-2017,0.16,54.00,43.00,TRUE
13-05-2017,0.03,57.00,45.00,TRUE
14-05-2017,0.04,59.00,47.00,TRUE
15-05-2017,0.33,52.00,46.00,TRUE
16-05-2017,0.15,54.00,45.00,TRUE
17-05-2017, -   ,60.00,45.00,FALSE
18-05-2017, -   ,64.00,48.00,FALSE
19-05-2017, -   ,71.00,50.00,FALSE
20-05-2017, -   ,72.00,53.00,FALSE
21-05-2017, -   ,76.00,52.00,FALSE
22-05-2017, -   ,83.00,56.00,FALSE
23-05-2017, -   ,78.00,53.00,FALSE
24-05-2017, -   ,63.00,46.00,FALSE
25-05-2017, -   ,70.00,47.00,FALSE
26-05-2017, -   ,81.00,51.00,FALSE
27-05-2017, -   ,86.00,55.00,FALSE
28-05-2017, -   ,86.00,56.00,FALSE
29-05-2017, -   ,74.00,52.00,FALSE
30-05-2017,0.01,58.00,52.00,TRUE
31-05-2017,0.11,72.00,52.00,TRUE
01-06-2017,0.02,67.00,56.00,TRUE
02-06-2017, -   ,73.00,53.00,FALSE
03-06-2017, -   ,67.00,53.00,FALSE
04-06-2017, -   ,67.00,52.00,FALSE
05-06-2017, -   ,74.00,50.00,FALSE
06-06-2017, -   ,84.00,53.00,FALSE
07-06-2017,0.03,79.00,56.00,TRUE
08-06-2017,0.31,63.00,54.00,TRUE
09-06-2017,0.05,63.00,50.00,TRUE
10-06-2017, -   ,67.00,48.00,FALSE
11-06-2017, -   ,70.00,52.00,FALSE
12-06-2017, -   ,64.00,52.00,FALSE
13-06-2017, -   ,65.00,52.00,FALSE
14-06-2017, -   ,65.00,51.00,FALSE
15-06-2017,1.05,61.00,53.00,TRUE
16-06-2017, -   ,68.00,53.00,FALSE
17-06-2017,0.06,63.00,51.00,TRUE
18-06-2017, -   ,71.00,55.00,FALSE
19-06-2017, -   ,74.00,56.00,FALSE
20-06-2017, -   ,73.00,56.00,FALSE
21-06-2017, -   ,69.00,53.00,FALSE
22-06-2017, -   ,75.00,50.00,FALSE
23-06-2017, -   ,81.00,55.00,FALSE
24-06-2017, -   ,89.00,61.00,FALSE
25-06-2017, -   ,96.00,64.00,FALSE
26-06-2017, -   ,72.00,55.00,FALSE
27-06-2017, -   ,71.00,53.00,FALSE
28-06-2017, -   ,68.00,54.00,FALSE
29-06-2017, -   ,78.00,53.00,FALSE
30-06-2017, -   ,86.00,57.00,FALSE
01-07-2017, -   ,72.00,55.00,FALSE
02-07-2017, -   ,77.00,54.00,FALSE
03-07-2017, -   ,70.00,56.00,FALSE
04-07-2017, -   ,78.00,53.00,FALSE
05-07-2017, -   ,85.00,57.00,FALSE
06-07-2017, -   ,85.00,55.00,FALSE
07-07-2017, -   ,72.00,55.00,FALSE
08-07-2017, -   ,81.00,58.00,FALSE
09-07-2017, -   ,80.00,56.00,FALSE
10-07-2017, -   ,73.00,58.00,FALSE
11-07-2017, -   ,75.00,54.00,FALSE
12-07-2017, -   ,78.00,54.00,FALSE
13-07-2017, -   ,75.00,57.00,FALSE
14-07-2017, -   ,79.00,57.00,FALSE
15-07-2017, -   ,77.00,54.00,FALSE
16-07-2017, -   ,72.00,55.00,FALSE
17-07-2017, -   ,78.00,55.00,FALSE
18-07-2017, -   ,82.00,56.00,FALSE
19-07-2017, -   ,78.00,53.00,FALSE
20-07-2017, -   ,74.00,59.00,FALSE
21-07-2017, -   ,78.00,55.00,FALSE
22-07-2017, -   ,85.00,63.00,FALSE
23-07-2017, -   ,76.00,62.00,FALSE
24-07-2017, -   ,82.00,56.00,FALSE
25-07-2017, -   ,87.00,58.00,FALSE
26-07-2017, -   ,84.00,56.00,FALSE
27-07-2017, -   ,70.00,57.00,FALSE
28-07-2017, -   ,79.00,56.00,FALSE
29-07-2017, -   ,81.00,54.00,FALSE
30-07-2017, -   ,80.00,58.00,FALSE
31-07-2017, -   ,85.00,60.00,FALSE
01-08-2017, -   ,87.00,60.00,FALSE
02-08-2017, -   ,91.00,69.00,FALSE
03-08-2017, -   ,94.00,68.00,FALSE
